Club,Division,Nation of Club,Club Reputation
Brøndby IF,3F Superliga,Denmark,National
AaB,3F Superliga,Denmark,National
AGF,3F Superliga,Denmark,National
OB,3F Superliga,Denmark,National
FC Nordsjælland,3F Superliga,Denmark,National
Randers FC,3F Superliga,Denmark,National
SønderjyskE,3F Superliga,Denmark,National
Silkeborg IF,3F Superliga,Denmark,National
Vejle,3F Superliga,Denmark,National
AC Horsens,NordicBet Liga,Denmark,National
Esbjerg fB,NordicBet Liga,Denmark,National
Viborg FF,3F Superliga,Denmark,National
Lyngby,NordicBet Liga,Denmark,National
FC Fredericia,NordicBet Liga,Denmark,National
Hobro IK,NordicBet Liga,Denmark,National
HB Køge,NordicBet Liga,Denmark,National
Vendsyssel FF,NordicBet Liga,Denmark,National
FC Helsingør,NordicBet Liga,Denmark,National
Nykøbing FC,NordicBet Liga,Denmark,National
Fremad Amager,NordicBet Liga,Denmark,National
Næstved,2. Division,Denmark,National
Kolding IF,2. Division,Denmark,National
Hvidovre IF,NordicBet Liga,Denmark,National
Skive IK,2. Division,Denmark,National
Jammerbugt FC,NordicBet Liga,Denmark,National
AB,2. Division,Denmark,National
B.93,2. Division,Denmark,National
Thisted FC,2. Division,Denmark,National
FC Roskilde,3. Division,Denmark,National
Frem,3. Division,Denmark,National
Middelfart,2. Division,Denmark,National
Hellerup IK,2. Division,Denmark,National
Holbæk,Denmark's Series,Denmark,National
Aarhus Fremad,2. Division,Denmark,National
Brabrand IF,2. Division,Denmark,National
Brønshøj,Denmark's Series,Denmark,Regional
Slagelse,3. Division,Denmark,Regional
Hillerød,2. Division,Denmark,Regional
Næsby,3. Division,Denmark,Regional
Avarta,Denmark's Series,Denmark,Regional
Ringkøbing IF,Denmark's Series,Denmark,Regional
Vanløse IF,3. Division,Denmark,Regional
Dalum,3. Division,Denmark,Regional
SfB-Oure FA,Denmark's Series,Denmark,Regional
FA 2000,2. Division,Denmark,Regional
Kjellerup,Denmark's Series,Denmark,Regional
FC Sydvest,Denmark's Series,Denmark,Regional
VSK Aarhus,3. Division,Denmark,Regional
B1908,Denmark's Series,Denmark,Regional
Roskilde KFUM,3. Division,Denmark,Regional
Young Boys FD,3. Division,Denmark,Regional
Skovshoved,Denmark's Series,Denmark,Local
Ishøj IF,Denmark's Series,Denmark,Local
Varde IF,Denmark's Series,Denmark,Local
Greve,Denmark's Series,Denmark,Local
Vejgaard,Denmark's Series,Denmark,Local
Avedøre,Danish Lower Division,Denmark,Local
Marienlyst,Denmark's Series,Denmark,Local
Odder,Denmark's Series,Denmark,Local
Køge Nord FC,Denmark's Series,Denmark,Local
Herlev,3. Division,Denmark,Local
Lyseng,3. Division,Denmark,Local
Skjold,Danish Lower Division,Denmark,Local
GVI,Denmark's Series,Denmark,Local
Birkerød,Danish Lower Division,Denmark,Local
Viby,Danish Lower Division,Denmark,Local
B1913,Denmark's Series,Denmark,Local
Fremad Valby,Danish Lower Division,Denmark,Local
B1903,Denmark's Series,Denmark,Local
Ledøje-Smørum,Denmark's Series,Denmark,Local
AB Tårnby,Denmark's Series,Denmark,Local
TPI,Denmark's Series,Denmark,Local
Otterup,Danish Lower Division,Denmark,Local
Nørresundby FB,Denmark's Series,Denmark,Local
B1909,Denmark's Series,Denmark,Local
Herfølge,Danish Lower Division,Denmark,Local
Holstebro,Denmark's Series,Denmark,Local
Kolding B,Danish Lower Division,Denmark,Local
BK Union,Denmark's Series,Denmark,Local
Allerød,Denmark's Series,Denmark,Local
Ballerup-Skovlunde,Danish Lower Division,Denmark,Local
Karlslunde,3. Division,Denmark,Local
Frederikshavn,Danish Lower Division,Denmark,Local
Hedensted,Denmark's Series,Denmark,Local
Bramming,Danish Lower Division,Denmark,Local
Aalborg Freja,Danish Lower Division,Denmark,Local
NB Bornholm,Danish Lower Division,Denmark,Local
Taastrup FC,Danish Lower Division,Denmark,Local
FB,Danish Lower Division,Denmark,Local
København KFUM,Denmark's Series,Denmark,Local
FC Djursland,Danish Lower Division,Denmark,Local
Stenløse,Danish Lower Division,Denmark,Local
VRI,Denmark's Series,Denmark,Local
Tårnby FF,Denmark's Series,Denmark,Local
KB,Danish Lower Division,Denmark,Local
Aabyhøj,Danish Lower Division,Denmark,Local
Aarhus Fremad II,Denmark's Series,Denmark,Local
Herning Fremad,Danish Lower Division,Denmark,Local
Døllefjelde-Musse,Danish Lower Division,Denmark,Local
Kastrup,Danish Lower Division,Denmark,Local
Vorup,Danish Lower Division,Denmark,Local
Ringsted,Denmark's Series,Denmark,Local
Sundby,Danish Lower Division,Denmark,Local
Sæby,Danish Lower Division,Denmark,Local
Husum BK,Danish Lower Division,Denmark,Local
B1973 Herlev,Danish Lower Division,Denmark,Local
Glostrup FK,Danish Lower Division,Denmark,Local
Virum-Sorgenfri,Danish Lower Division,Denmark,Local
Tjørring,Danish Lower Division,Denmark,Local
Horsens fS,Danish Lower Division,Denmark,Local
Fuglebakken KFUM,Denmark's Series,Denmark,Local
Jægersborg,Danish Lower Division,Denmark,Local
OKS,Denmark's Series,Denmark,Local
FC Skanderborg,Danish Lower Division,Denmark,Local
Herstedøster IC,Denmark's Series,Denmark,Local
FC Sunshine,Danish Lower Division,Denmark,Local
Dragør,Danish Lower Division,Denmark,Local
Esbjerg IF 92,Danish Lower Division,Denmark,Local
Lundtofte,Danish Lower Division,Denmark,Local
Randers Freja,Danish Lower Division,Denmark,Local
Aabenraa,Danish Lower Division,Denmark,Local
Randers KFUM,Danish Lower Division,Denmark,Local
Vordingborg,Danish Lower Division,Denmark,Local
Prespa,Danish Lower Division,Denmark,Local
Fredensborg,Danish Lower Division,Denmark,Local
Frederikssund,Denmark's Series,Denmark,Local
Solrød,Denmark's Series,Denmark,Local
Aarup,Danish Lower Division,Denmark,Local
Vatanspor,Danish Lower Division,Denmark,Local
Køge,Danish Lower Division,Denmark,Local
Ølstykke,Danish Lower Division,Denmark,Local
Farum,Danish Lower Division,Denmark,Local
Kalundborg,Danish Lower Division,Denmark,Local
Korup,Danish Lower Division,Denmark,Local
Nørre Aaby,Danish Lower Division,Denmark,Local
Vejen,Danish Lower Division,Denmark,Local
Lystrup,Danish Lower Division,Denmark,Local
Raklev,Danish Lower Division,Denmark,Local
Snekkersten IF,Danish Lower Division,Denmark,Local
Øresund,Danish Lower Division,Denmark,Local
Rønne IK,Danish Lower Division,Denmark,Obscure
Vigerslev,Danish Lower Division,Denmark,Obscure
Måløv,Danish Lower Division,Denmark,Obscure
FC Horsens,Danish Lower Division,Denmark,Obscure
Aarhus 1900,Danish Lower Division,Denmark,Obscure
Hjørring IF,Danish Lower Division,Denmark,Obscure
ASA Aarhus,Denmark's Series,Denmark,Obscure
Svendborg fB,Danish Lower Division,Denmark,Obscure
SGI,Danish Lower Division,Denmark,Obscure
Tønder,Danish Lower Division,Denmark,Obscure
Handelsstandens BK,Danish Lower Division,Denmark,Obscure
Helsted IF,Danish Lower Division,Denmark,Obscure
Dronninglund IF,Danish Lower Division,Denmark,Obscure
Haderslev,Danish Lower Division,Denmark,Obscure
Roskilde B,Danish Lower Division,Denmark,Obscure
Valby,Danish Lower Division,Denmark,Obscure
Fjordager,Danish Lower Division,Denmark,Obscure
Hjørring AIK Frem,Danish Lower Division,Denmark,Obscure
Farsø/Ullits,Danish Lower Division,Denmark,Obscure
Vivild,Danish Lower Division,Denmark,Obscure
FC Sønderborg,-,Denmark,Obscure
FK Utopia,Danish Lower Division,Denmark,Obscure
AIA-Tranbjerg,Danish Lower Division,Denmark,Obscure
Brande,Danish Lower Division,Denmark,Obscure
Politiet,Danish Lower Division,Denmark,Obscure
Værløse,Danish Lower Division,Denmark,Obscure
Søndermarken,Danish Lower Division,Denmark,Obscure
Svebølle,Danish Lower Division,Denmark,Obscure
Sønderborg,Danish Lower Division,Denmark,Obscure
Rosenhøj,Danish Lower Division,Denmark,Obscure
Tuse IF,Danish Lower Division,Denmark,Obscure
Aalborg KFUM,Danish Lower Division,Denmark,Obscure
Haslev FC,Danish Lower Division,Denmark,Obscure
Skibet IF,Danish Lower Division,Denmark,Obscure
Vildbjerg,Danish Lower Division,Denmark,Obscure
Holbæk Utd,Danish Lower Division,Denmark,Obscure
Ikast FC,Danish Lower Division,Denmark,Obscure
Aabybro IF,Danish Lower Division,Denmark,Obscure
Kerteminde,Danish Lower Division,Denmark,Obscure
Bispebjerg,Danish Lower Division,Denmark,Obscure
Listrup,Danish Lower Division,Denmark,Obscure
Jetsmark IF,Danish Lower Division,Denmark,Obscure
Marstal/Rise,Danish Lower Division,Denmark,Obscure
Oure FA,Danish Lower Division,Denmark,Obscure
Nordfalster FB,Danish Lower Division,Denmark,Obscure
Vejle FC,Danish Lower Division,Denmark,Obscure
Fredericia fF,Danish Lower Division,Denmark,Obscure
Ribe,Danish Lower Division,Denmark,Obscure
Thurø,Danish Lower Division,Denmark,Obscure
Strib,Danish Lower Division,Denmark,Obscure
BK Viktoria,Danish Lower Division,Denmark,Obscure
Kristrup,Danish Lower Division,Denmark,Obscure
FK Sydsjælland 05,Danish Lower Division,Denmark,Obscure
SSV Højfyn,Danish Lower Division,Denmark,Obscure
Gug B,Danish Lower Division,Denmark,Obscure
FC Rudersdal,Danish Lower Division,Denmark,Obscure
Benløse IF,Danish Lower Division,Denmark,Obscure
Billund,Danish Lower Division,Denmark,Obscure
Vejle Kammeraterne,Danish Lower Division,Denmark,Obscure
VLI,Danish Lower Division,Denmark,Obscure
Hellas,Danish Lower Division,Denmark,Obscure
VB 1968,Danish Lower Division,Denmark,Obscure
Spjald IF,Danish Lower Division,Denmark,Obscure
Liria FK,Danish Lower Division,Denmark,Obscure
Gundersted IF,Danish Lower Division,Denmark,Obscure
FAML,Danish Lower Division,Denmark,Obscure
Aalborg Chang,Danish Lower Division,Denmark,Obscure
Aars,Danish Lower Division,Denmark,Obscure
Gladsaxe-Hero,Danish Lower Division,Denmark,Obscure
Hammerum,Danish Lower Division,Denmark,Obscure
FC Nakskov,Danish Lower Division,Denmark,Obscure
Hornsyld,Danish Lower Division,Denmark,Obscure
Jyderup,Danish Lower Division,Denmark,Obscure
Rødovre,Danish Lower Division,Denmark,Obscure
Tårup,Danish Lower Division,Denmark,Obscure
Viking Rønne,Danish Lower Division,Denmark,Obscure
Lemvig,Danish Lower Division,Denmark,Obscure
Haverslev,Danish Lower Division,Denmark,Obscure
Fredericia KFUM,Danish Lower Division,Denmark,Obscure
Espergærde,Danish Lower Division,Denmark,Obscure
Odense KFUM,Danish Lower Division,Denmark,Obscure
Erritsø,Danish Lower Division,Denmark,Obscure
Frem Sakskøbing,Danish Lower Division,Denmark,Obscure
Hirtshals,Danish Lower Division,Denmark,Obscure
Hørsholm-Usserød,Danish Lower Division,Denmark,Obscure
Kildemosen,Danish Lower Division,Denmark,Obscure
Maribo,Danish Lower Division,Denmark,Obscure
Munkebo,Danish Lower Division,Denmark,Obscure
Nyborg,Danish Lower Division,Denmark,Obscure
Ringe,Danish Lower Division,Denmark,Obscure
Skagen,Danish Lower Division,Denmark,Obscure
Skjern,Danish Lower Division,Denmark,Obscure
Sorø Freja,Danish Lower Division,Denmark,Obscure
Støvring,Danish Lower Division,Denmark,Obscure
Vojens,Danish Lower Division,Denmark,Obscure
Herning KFUM,Danish Lower Division,Denmark,Obscure
Hornbæk SF,Danish Lower Division,Denmark,Obscure
Kvistgård,Danish Lower Division,Denmark,Obscure
Tjæreborg,Danish Lower Division,Denmark,Obscure
Dronningborg,Danish Lower Division,Denmark,Obscure
Langeskov,Danish Lower Division,Denmark,Obscure
Herlufsholm,Danish Lower Division,Denmark,Obscure
BBB,Danish Lower Division,Denmark,Obscure
Sanderum,Danish Lower Division,Denmark,Obscure
Glamsbjerg,Danish Lower Division,Denmark,Obscure
Bogense,Danish Lower Division,Denmark,Obscure
Bolbro,Danish Lower Division,Denmark,Obscure
Birkelse,Danish Lower Division,Denmark,Obscure
Brønderslev,Danish Lower Division,Denmark,Obscure
Næsbjerg,Danish Lower Division,Denmark,Obscure
Auning,Danish Lower Division,Denmark,Obscure
Skærbæk,Danish Lower Division,Denmark,Obscure
Løgstør,Danish Lower Division,Denmark,Obscure
Bjerringbro,Danish Lower Division,Denmark,Obscure
Bov,Danish Lower Division,Denmark,Obscure
Fløng-Hedehusene,Danish Lower Division,Denmark,Obscure
Hundested,Danish Lower Division,Denmark,Obscure
Rødby,Danish Lower Division,Denmark,Obscure
Amager FF,Danish Lower Division,Denmark,Obscure
Birkende,Danish Lower Division,Denmark,Obscure
Bredballe,Danish Lower Division,Denmark,Obscure
Horslunde,Danish Lower Division,Denmark,Obscure
Måbjerg,Danish Lower Division,Denmark,Obscure
Tåsinge,Danish Lower Division,Denmark,Obscure
Kvik/Aalestrup,Danish Lower Division,Denmark,Obscure
BMI,Danish Lower Division,Denmark,Obscure
Christiansbjerg,Danish Lower Division,Denmark,Obscure
Allesø,Danish Lower Division,Denmark,Obscure
Horsens Freja,Danish Lower Division,Denmark,Obscure
Stoholm,Danish Lower Division,Denmark,Obscure
Tved,Danish Lower Division,Denmark,Obscure
Hadsten,Danish Lower Division,Denmark,Obscure
Aulum,Danish Lower Division,Denmark,Obscure
BK Pioneren,Danish Lower Division,Denmark,Obscure
Kløvermarken,Danish Lower Division,Denmark,Obscure
Borup,Danish Lower Division,Denmark,Obscure
Vinding,Danish Lower Division,Denmark,Obscure
TP Mazembe,DR Congolese Premier Division,Democratic Republic of Congo,Continental
Vita Club,DR Congolese Premier Division,Democratic Republic of Congo,Continental
DC Motema Pembe,DR Congolese Premier Division,Democratic Republic of Congo,National
Maniema Union,DR Congolese Premier Division,Democratic Republic of Congo,National
Cibao,Liga Dominicana de Fútbol,Dominican Republic,National
Pantoja,Liga Dominicana de Fútbol,Dominican Republic,National
Eloi-Lupopo,DR Congolese Premier Division,Democratic Republic of Congo,National
SM Sanga Balende,DR Congolese Premier Division,Democratic Republic of Congo,National
FC Renaissance,DR Congolese Premier Division,Democratic Republic of Congo,National
CS Don Bosco,DR Congolese Premier Division,Democratic Republic of Congo,National
AC Rangers,DR Congolese Premier Division,Democratic Republic of Congo,National
RC Kinshasa,DR Congolese Premier Division,Democratic Republic of Congo,National
AS Simba,DR Congolese Premier Division,Democratic Republic of Congo,National
Atlántico FC,Liga Dominicana de Fútbol,Dominican Republic,National
Blessing,DR Congolese Premier Division,Democratic Republic of Congo,National
AS Dauphin Noir,DR Congolese Premier Division,Democratic Republic of Congo,National
Groupe Bazano,DR Congolese Premier Division,Democratic Republic of Congo,National
JSK,DR Congolese Premier Division,Democratic Republic of Congo,National
Barcelona Atlético,Dominican Republic Lower Leagues,Dominican Republic,National
Moca FC,Liga Dominicana de Fútbol,Dominican Republic,National
Universidad O&M,Liga Dominicana de Fútbol,Dominican Republic,National
Atlético Vega Real,Liga Dominicana de Fútbol,Dominican Republic,National
New Soger,DR Congolese Second Division,Democratic Republic of Congo,National
AS Nika,DR Congolese Second Division,Democratic Republic of Congo,National
AS Kabasha,DR Congolese Second Division,Democratic Republic of Congo,National
Lubumbashi,DR Congolese Premier Division,Democratic Republic of Congo,National
Atlético SF,Liga Dominicana de Fútbol,Dominican Republic,National
AC Kuya,DR Congolese Premier Division,Democratic Republic of Congo,National
US Panda,DR Congolese Premier Division,Democratic Republic of Congo,National
San Cristóbal FC,Liga Dominicana de Fútbol,Dominican Republic,National
South East (DMA),Dominican Premier League,Dominica,National
Bath Estate,Dominican Premier League,Dominica,National
Dublanc,Dominican Premier League,Dominica,National
AS Dragons Bilima,DR Congolese Second Division,Democratic Republic of Congo,National
TP Molunge,DR Congolese Lower Divisions,Democratic Republic of Congo,National
Bombers (DMA),Dominican Premier League,Dominica,National
Harlem Utd,Dominican Premier League,Dominica,National
Bauger,Dominican Republic Lower Leagues,Dominican Republic,National
Bukavu Dawa,DR Congolese Second Division,Democratic Republic of Congo,National
MK Etanchéité,DR Congolese Second Division,Democratic Republic of Congo,National
Pointe Michel,Dominican Premier League,Dominica,National
AC Dibumba,DR Congolese Second Division,Democratic Republic of Congo,National
DC Virunga,DR Congolese Second Division,Democratic Republic of Congo,National
Delfines del Este,Liga Dominicana de Fútbol,Dominican Republic,National
Bob SS,Dominican Republic Serie B,Dominican Republic,National
Inter RD,Dominican Republic Lower Leagues,Dominican Republic,National
Jarabacoa,Liga Dominicana de Fútbol,Dominican Republic,National
We United,Dominican Premier League,Dominica,National
Makila Mabe,DR Congolese Second Division,Democratic Republic of Congo,National
FC Océan Pacifique,DR Congolese Second Division,Democratic Republic of Congo,National
Lalenok Utd,East Timorese Premier Division,East Timor,National
Soca Strikers,Dominican First Division,Dominica,National
CS Lualaba,DR Congolese Second Division,Democratic Republic of Congo,National
Middleham Utd,Dominican Premier League,Dominica,National
East Central,Dominican Premier League,Dominica,National
Muungano,DR Congolese Second Division,Democratic Republic of Congo,National
AS Bantous,DR Congolese Second Division,Democratic Republic of Congo,National
AS Ndjadi,DR Congolese Lower Divisions,Democratic Republic of Congo,National
TS Malekesa,DR Congolese Second Division,Democratic Republic of Congo,National
SC Rojolu,DR Congolese Lower Divisions,Democratic Republic of Congo,National
FC Mont Bleu,DR Congolese Second Division,Democratic Republic of Congo,National
Boavista (TLS),East Timorese Premier Division,East Timor,National
AS Nyuki,DR Congolese Second Division,Democratic Republic of Congo,National
Exodus (DMA),Dominican First Division,Dominica,National
Montellano,Dominican Republic Serie B,Dominican Republic,National
Sporting Quisqueya,Dominican Republic Serie B,Dominican Republic,National
América SD,Dominican Republic Serie B,Dominican Republic,National
AS Maïka,DR Congolese Second Division,Democratic Republic of Congo,National
LA Starz,Dominican Premier League,Dominica,National
FC Higuamo,Dominican Republic Serie B,Dominican Republic,National
Campa FC,Dominican Republic Serie B,Dominican Republic,National
Nord Sport FC,DR Congolese Second Division,Democratic Republic of Congo,National
JS Tshangu,DR Congolese Second Division,Democratic Republic of Congo,National
La Vega,Dominican Republic Lower Leagues,Dominican Republic,National
Real de Kin,DR Congolese Premier Division,Democratic Republic of Congo,National
AS Kilimandjaro,DR Congolese Second Division,Democratic Republic of Congo,National
FC Vivi,DR Congolese Second Division,Democratic Republic of Congo,National
Karketu Dili,East Timorese Premier Division,East Timor,National
Wacky Rollers,Dominican First Division,Dominica,National
Sabana FC,Dominican Republic Serie B,Dominican Republic,National
Tshinkunku,DR Congolese Premier Division,Democratic Republic of Congo,Regional
OC Kinshasa,DR Congolese Lower Divisions,Democratic Republic of Congo,Regional
CS El Dorado,DR Congolese Second Division,Democratic Republic of Congo,Regional
CS Makiso,DR Congolese Second Division,Democratic Republic of Congo,Regional
AS Arta,Djiboutian Premier Division,Djibouti,National
Gully,Dominican First Division,Dominica,National
Mao,Dominican Republic Serie B,Dominican Republic,National
El Bien FC,Dominican Republic Serie B,Dominican Republic,National
Garrincha FC,Dominican Republic Serie B,Dominican Republic,National
Heaven FC,DR Congolese Second Division,Democratic Republic of Congo,Regional
TP Mazembe de Kasangulu,DR Congolese Second Division,Democratic Republic of Congo,Regional
AS Ndombe,DR Congolese Second Division,Democratic Republic of Congo,Regional
AS Victoria Club,DR Congolese Second Division,Democratic Republic of Congo,Regional
Aicons,Dominican First Division,Dominica,National
TEC FC,Dominican Republic Serie B,Dominican Republic,National
Benfica Laulara,East Timorese Premier Division,East Timor,National
Villa Tapia,Dominican Republic Lower Leagues,Dominican Republic,National
Busta Warner,Dominican First Division,Dominica,National
Santa Fe (DOM),-,Dominican Republic,National
FC Etoile de Kivu,DR Congolese Premier Division,Democratic Republic of Congo,Regional
Kensboro,Dominican First Division,Dominica,National
Ponta Leste,East Timorese Premier Division,East Timor,National
Tarish Utd,Dominican First Division,Dominica,National
UNEV Sport Club,Dominican Republic Serie B,Dominican Republic,National
CA Bani,Dominican Republic Lower Leagues,Dominican Republic,National
FC Dynamic,DR Congolese Second Division,Democratic Republic of Congo,Regional
AS Mapenzi du Maniema,DR Congolese Second Division,Democratic Republic of Congo,Regional
Bath Estate C,Dominican First Division,Dominica,National
Saint-Luc,DR Congolese Lower Divisions,Democratic Republic of Congo,Regional
AS Ali Sabieh,Djiboutian Premier Division,Djibouti,National
Sharks XI,DR Congolese Lower Divisions,Democratic Republic of Congo,Regional
Itassi,Dominican First Division,Dominica,National
LA Stars,Dominican First Division,Dominica,National
Assalam,East Timorese Premier Division,East Timor,National
ISA,Dominican Republic Lower Leagues,Dominican Republic,National
Police (DMA),Dominican First Division,Dominica,National
WGFA,Dominican First Division,Dominica,National
FC San Isidro,Dominican Republic Lower Leagues,Dominican Republic,National
Atléticos FC,Dominican Republic Lower Leagues,Dominican Republic,National
La Meca,Dominican Republic Lower Leagues,Dominican Republic,National
FCBEscola,Dominican Republic Lower Leagues,Dominican Republic,National
Punta Cana,Dominican Republic Lower Leagues,Dominican Republic,National
Acad. Atl. Madrid,Dominican Republic Lower Leagues,Dominican Republic,National
Fund. Real Madrid,Dominican Republic Lower Leagues,Dominican Republic,National
Unión VPN,Dominican Republic Lower Leagues,Dominican Republic,National
Salcedo FC,Dominican Republic Lower Leagues,Dominican Republic,National
FC Mutoshi,DR Congolese Second Division,Democratic Republic of Congo,Regional
Mwangaza,DR Congolese Lower Divisions,Democratic Republic of Congo,Regional
DIT,East Timorese Premier Division,East Timor,National
RC Doctors,Dominican First Division,Dominica,National
St. Joseph (DMA),Dominican First Division,Dominica,National
Canefield,Dominican First Division,Dominica,National
GFYB,Dominican First Division,Dominica,National
Bath Estate B,Dominican First Division,Dominica,National
Aitana,East Timorese Premier Division,East Timor,National
Nemisis,Dominican First Division,Dominica,National
Harlem Utd B,Dominican First Division,Dominica,National
Bombers B,Dominican First Division,Dominica,National
Mbongo Sport,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Les Stars,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
New Belor,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
ACS Hayableh,Djiboutian Premier Division,Djibouti,National
AC UJANA,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
FC Joli Site,DR Congolese Second Division,Democratic Republic of Congo,Local
YMCA FC,East Timorese Lower Division,East Timor,National
Trafalgar (DMA),Dominican First Division,Dominica,National
All Saints FC,Dominican First Division,Dominica,National
Colihaut,Dominican First Division,Dominica,National
Renegades (DMA),Dominican First Division,Dominica,National
Hatian Angels,Dominican First Division,Dominica,National
Spartans (DMA),Dominican First Division,Dominica,National
FC Système,-,Democratic Republic of Congo,Local
Christ-Miracles,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Atlético Ultramar,East Timorese Second Division,East Timor,National
Jarabacoa B,Dominican Republic Serie B,Dominican Republic,Regional
Sporting Timor,East Timorese Second Division,East Timor,National
AS Académica,East Timorese Second Division,East Timor,National
Nagardjo,East Timorese Second Division,East Timor,National
Soca Strikers B,Dominican First Division,Dominica,Regional
Middleham B,Dominican First Division,Dominica,Regional
Mabela a Bana,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Kablaki,East Timorese Second Division,East Timor,National
Fitun Estudante,East Timorese Second Division,East Timor,National
Fond Cole,Dominican First Division,Dominica,Regional
Exodus B,Dominican First Division,Dominica,Regional
Lica-Lica Lemorai,East Timorese Second Division,East Timor,National
Porto Taibesse,East Timorese Second Division,East Timor,National
SC Cilu,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Veti Club,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
AS Port,Djiboutian Premier Division,Djibouti,National
AC CAPACO,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
AC N'koy Bilombe,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Arhiba,Djiboutian Premier Division,Djibouti,National
Force Nationale de Police,Djiboutian Lower Divisions,Djibouti,National
FC UMOJA,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
CS Manika,DR Congolese Second Division,Democratic Republic of Congo,Local
AS Les Aiglons Bleu,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
FC Banekanga,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
FC Cadev,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
FC Etoile Jaune,DR Congolese Second Division,Democratic Republic of Congo,Local
RC Fontshi,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
FC Kungu Pemba,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
AS Momekano,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Kasindi Sport,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
OC St. Hypolite,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
AC Kasaï,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
Kuna Fazi,DR Congolese Lower Divisions,Democratic Republic of Congo,Local
EAD,Djiboutian Premier Division,Djibouti,National
Santa Cruz (TLS),East Timorese Second Division,East Timor,Regional
Tarish Utd B,Dominican First Division,Dominica,Regional
Zebra,East Timorese Second Division,East Timor,Regional
Gendarmerie,Djiboutian Premier Division,Djibouti,National
Garde Républicaine FC,Djiboutian Premier Division,Djibouti,National
Cacusan CF,East Timorese Lower Division,East Timor,Regional
AS Marca FC,East Timorese Second Division,East Timor,Regional
Emmanuel FC,East Timorese Second Division,East Timor,Regional
La Grace,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
FC Lero,East Timorese Lower Division,East Timor,Regional
FC Dikhil,Djiboutian Premier Division,Djibouti,National
AS Tadjourah,Djiboutian Lower Divisions,Djibouti,National
Hôpital Balbala,Djiboutian Lower Divisions,Djibouti,National
CDE-Colas,Djiboutian Lower Divisions,Djibouti,National
US Socozaki,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
AS Jeunes Jago,Djiboutian Lower Divisions,Djibouti,National
US GEXKOL,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
AS Malole,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
ES Djibouti,Djiboutian Premier Division,Djibouti,National
New Jak FC,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
Barwaqo,Djiboutian Lower Divisions,Djibouti,National
Nurie Transit,Djiboutian Lower Divisions,Djibouti,National
Institut / ETP,Djiboutian Lower Divisions,Djibouti,National
SDVK,Djiboutian Lower Divisions,Djibouti,National
AS Lero,East Timorese Lower Division,East Timor,Local
AS Kartileh,Djiboutian Lower Divisions,Djibouti,Regional
FC Dijack,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
FC Standard de Lemba,DR Congolese Lower Divisions,Democratic Republic of Congo,Obscure
Teouma Academy (TLS),East Timorese Lower Division,East Timor,Obscure
ADR União,East Timorese Lower Division,East Timor,Obscure
DV7 Soccer,Dominican Republic Lower Leagues,Dominican Republic,Obscure
Barcelona S.C.,Ecuadorian LigaPro Serie A,Ecuador,Continental
Liga de Quito,Ecuadorian LigaPro Serie A,Ecuador,National
Emelec,Ecuadorian LigaPro Serie A,Ecuador,National
Independiente del Valle,Ecuadorian LigaPro Serie A,Ecuador,National
U. Católica (Quito),Ecuadorian LigaPro Serie A,Ecuador,National
Delfín,Ecuadorian LigaPro Serie A,Ecuador,National
Macará,Ecuadorian LigaPro Serie A,Ecuador,National
El Nacional,Ecuadorian LigaPro Serie B,Ecuador,National
Aucas,Ecuadorian LigaPro Serie A,Ecuador,National
Deportivo Cuenca,Ecuadorian LigaPro Serie A,Ecuador,National
Técnico Universitario,Ecuadorian LigaPro Serie A,Ecuador,National
Guayaquil City,Ecuadorian LigaPro Serie A,Ecuador,National
Mushuc Runa,Ecuadorian LigaPro Serie A,Ecuador,National
9 de Octubre,Ecuadorian LigaPro Serie A,Ecuador,National
Orense,Ecuadorian LigaPro Serie A,Ecuador,National
Olmedo,Ecuadorian LigaPro Serie B,Ecuador,National
Liga de Portoviejo,Ecuadorian Lower Division,Ecuador,National
Manta,Ecuadorian LigaPro Serie B,Ecuador,National
